CompanyName,Codes
Blazon Marbles Limited,531570
Blb Ltd.,532290
Bliss Gvs Pharma Ltd.,506197
Bloom Dekor Ltd.-$,526225
Bloom Industries Ltd.,513422
Bls Infotech Ltd.,531175
Blue Blends (india) Ltd,502761
Blue Chip India Ltd.,531936
Blue Chip Tex Industries Ltd.,506981
Blue Circle Services Ltd.,508939
Blue Coast Hotels Ltd.,531495
Blue Dart Express Ltd.,526612
Blue Pearl Texspin Limited,514440
Blue Star Infotech Ltd.,532346
Blue Star Ltd.,500067
Bluechip Stockspin Ltd.,531713
Bmb Music & Magnetics Ltd.,531420
Bnk Capital Markets Ltd.,500069
Bnr Udyog Ltd.,530809
Bodal Chemicals Ltd.,524370
Bodhtree Consulting Ltd,539122
Bombay Burmah Trading Corp.ltd.,501425
Bombay Cycle & Motor Agency Ltd.,501430
Bombay Dyeing & Mfg.co.ltd.,500020
Bombay Oxygen Corporation Ltd.,509470
Bombay Potteries & Tiles Ltd.,502216
Bombay Rayon Fashions Ltd.,532678
Bombay Swadeshi Stores Ltd.,531276
Bonanza Industries Ltd.,523133
Borax Morarji Ltd.,506315
Borosil Glass Works Ltd.,502219
Bosch Ltd.,500530
Boston Bio Systems Ltd.,531458
Boston Leasing And Finance Ltd,539274
Boston Teknowsys (india) Ltd,536820
Bothra Metals & Alloys Ltd.,535279
Bpl Ltd.,500074
Brady & Morris Engineering Co.ltd.,505690
Brahmanand Himghar Ltd.,590081
Brahmaputra Infrastructure Ltd.,535693
Brakes Auto (india) Ltd.,520115
Brand Realty Services Ltd.,531203
Brandhouse Retails Ltd.,533059
Brawn Biotech Ltd.,530207
Bridge Securities Ltd.,530249
Brigade Enterprises Ltd.,532929
Bright Brothers Ltd.-$,526731
Brijlaxmi Leasing & Finance Ltd.,532113
Brilliant Portfolios Ltd,539434
Britannia Industries Ltd.,500825
Broadcast Initiatives Ltd.,532816
Bronze Infra-tech Ltd.,534731
Brooks Laboratories Ltd.,533543
Brushman (india) Ltd.-$,590061
Bs Ltd.,533276
Bsel Infrastructure Realty Ltd.,532123
Bsl Ltd.,514045
Budge Budge Company Ltd,538789
Burnpur Cement Ltd.,532931
Butterfly Gandhimathi Appliances Ltd,517421
Bwl Ltd.,504643
C & C Constructions Ltd.,532813
C. Mahendra Exports Ltd.,533304
C.j.gelatine Products Ltd.,507515
Cable Corporation Of India Ltd.,500077
Cadila Healthcare Ltd.,532321
Cairn India Ltd.,532792
Calcom Vision Ltd.,517236
California Software Co.ltd.,532386
Cals Refineries Ltd.,526652
Cambridge Technology Enterprises Ltd.,532801
Camex Ltd.,524440
Camlin Fine Sciences Ltd.,532834
Camphor & Allied Products Ltd.-$,500078
Camson Bio Technologies Ltd,538858
Camson Bio Technologies Ltd-$,590076
Can Fin Homes Ltd.,511196
Canara Bank,532483
Canopy Finance Ltd,539304
Cantabil Retail India Ltd.,533267
Capfin India Ltd,539198
Capital First Ltd.,532938
Capital Trade Links Ltd,538476
Capital Trust Ltd.,511505
Caplin Point Laboratories Ltd.,524742
Capman Financials Ltd.,511720
Capri Global Capital Limited,531595
Capricorn Systems Global Solutions Ltd.,512169
Caprihans India Ltd.-$,509486
Caprolactam Chemicals Ltd.,507486
Captain Pipes Ltd,538817
Captain Polyplast Ltd,536974
Carborundum Universal Ltd.,513375
Career Point Ltd.,533260
Carewell Industries Ltd,538579
Carnation Industries Ltd.,530609
Castex Technologies Ltd-$,532282
Castrol India Ltd.,500870
Cat Technologies Ltd.,531682
Catvision Limited,531158
Ccl International Ltd.,531900
Ccl Products (india) Ltd.,519600
Ccs Infotech Ltd.,532405
Cdr Health Care Ltd.,523353
Ceat Ltd.,500878
Ceejay Finance Ltd.,530789
